genes	logFC	logCPM	F	PValue	FDR
ENSGMOG00000006961	-0.0352486918490161	3.04323651899842	0.134529371097241	0.72129387366408	0.926526668828661
ENSGMOG00000009877	0.0404207832526524	2.65890449448629	0.134461286376056	0.721361030057626	0.926537155551609
ENSGMOG00000012189	-0.0292380478555012	3.97884742929131	0.134321916033292	0.721498560878122	0.926584352067192
ENSGMOG00000004498	-0.07225754213975	5.92443536976603	0.134304486291703	0.721515766317443	0.926584352067192
ENSGMOG00000017542	-0.0440959318130866	5.395059923795	0.133967929338612	0.721848243218951	0.926791162836202
ENSGMOG00000006863	0.0557057988121461	1.05340353185363	0.133868476623879	0.721946581811607	0.926791162836202
ENSGMOG00000014430	-0.0355079939517207	5.06225198976115	0.133851442030559	0.721963429769956	0.926791162836202
ENSGMOG00000010752	-0.034383943397813	4.63879942573376	0.133834989612646	0.721979703096803	0.926791162836202
ENSGMOG00000003553	0.0352618755407799	4.81980341626912	0.13378950165534	0.722024701861617	0.926791162836202
ENSGMOG00000012548	0.0569907295370401	2.06436273620465	0.133783278462184	0.722030858809612	0.926791162836202
ENSGMOG00000004129	0.0320248377437286	3.28357595126028	0.133705605834842	0.722107718419433	0.926801600607951
ENSGMOG00000011070	0.126976818250813	0.0646373832277475	0.133615789478282	0.722196626521236	0.926801600607951
ENSGMOG00000006469	0.0605177281355731	0.850174806473971	0.133580729801126	0.722231340945781	0.926801600607951
ENSGMOG00000014534	0.0316065085799418	3.79573009408615	0.133536615633357	0.72227502810654	0.926801600607951
ENSGMOG00000019085	0.138027394886222	0.0314083979281344	0.133326322274199	0.722483399541	0.926826629765739
ENSGMOG00000004469	-0.0296994847269659	7.90017307080992	0.133308803126919	0.722500767061276	0.926826629765739
ENSGMOG00000009840	0.030448936316825	4.1869921200902	0.133221609660067	0.722587225307599	0.926826629765739
ENSGMOG00000009292	-0.048895742828289	1.89514099304533	0.133201857359649	0.722606815553558	0.926826629765739
ENSGMOG00000001281	0.0241116817795602	5.88931894409152	0.133167510778552	0.722640884302472	0.926826629765739
ENSGMOG00000004226	-0.0258191998735788	4.48444533071107	0.133159733086954	0.722648599777871	0.926826629765739
ENSGMOG00000011305	-0.040241107427313	2.23303933789148	0.133000676741118	0.722806440369664	0.926883588422441
ENSGMOG00000005908	-0.0284739276235773	5.93765735446681	0.13281864310933	0.722987215192931	0.926883588422441
ENSGMOG00000017686	0.0456032556396104	1.8278390004961	0.13281859847863	0.722987259532371	0.926883588422441
ENSGMOG00000007535	-0.0241815898302851	5.1185932739992	0.132806018441303	0.722999757812145	0.926883588422441
ENSGMOG00000006877	0.0449765324787435	1.76940148024744	0.132706711203203	0.723098443433746	0.926883588422441
ENSGMOG00000007753	0.0409025006964871	8.93926454365702	0.132694158127773	0.72311092093947	0.926883588422441
ENSGMOG00000008825	0.0243086971176585	5.7462264649505	0.132651599533489	0.723153228355276	0.926883588422441
ENSGMOG00000018685	-0.027656749010437	5.39071958802101	0.132639631149618	0.723165127500865	0.926883588422441
ENSGMOG00000016466	0.0445030175717197	2.85506523291272	0.132423338293623	0.723380274983789	0.926969308489515
ENSGMOG00000004065	0.0423351954581688	2.66369923913975	0.132349847151326	0.723453422687492	0.926969308489515
ENSGMOG00000005913	-0.069758669295349	1.03585001463457	0.13228201826207	0.723520955209703	0.926969308489515
ENSGMOG00000019267	-0.0440513198686963	2.9297230771798	0.132235677543694	0.723567104833771	0.926969308489515
ENSGMOG00000005181	-0.0330031233219486	3.59640509217783	0.132198770322175	0.723603866476197	0.926969308489515
ENSGMOG00000003108	-0.0332071147364859	4.0861772770882	0.132173167973787	0.723629371283876	0.926969308489515
ENSGMOG00000009691	0.0506528929487016	1.42158249171568	0.132157332538155	0.723645147802747	0.926969308489515
ENSGMOG00000004920	-0.0613534798200235	1.84321684225844	0.131994533822275	0.723807403512633	0.92710153968108
ENSGMOG00000008663	0.03859000168397	9.0206489755467	0.131927120900675	0.723874625070523	0.927112033055339
ENSGMOG00000004466	0.0406967410016228	4.0245881894398	0.131804712667595	0.723996736029783	0.927155923987958
ENSGMOG00000013883	-0.0506976774460039	6.49017421288039	0.131774426805157	0.724026958341545	0.927155923987958
ENSGMOG00000000726	0.0734039441912934	0.30646796424999	0.131711398527919	0.724089867090654	0.92716088802591
ENSGMOG00000000104	0.0348010054326483	4.11278378072073	0.13164865120438	0.724152512507836	0.927165514098644
ENSGMOG00000001191	0.0255910647204031	5.03105167765414	0.131527632795367	0.724273382572332	0.927211676681396
ENSGMOG00000012243	-0.0306351156425164	4.4164225251525	0.131494347402537	0.724306638304091	0.927211676681396
