genes	logFC	logCPM	F	PValue	FDR
ENSGMOG00000009293	2.48453700916776	8.20604041800093	437.187403333435	3.22281163533805e-12	2.32729382094825e-09
ENSGMOG00000016268	5.12207059376216	3.45754492608125	436.037967634917	3.28290450057097e-12	2.32729382094825e-09
ENSGMOG00000006018	1.63956757346228	5.52769949017521	426.957246927717	3.80517370585693e-12	2.46652186185012e-09
ENSGMOG00000006625	1.99569628441653	6.28162753421583	426.277763968701	3.84791204387724e-12	2.46652186185012e-09
ENSGMOG00000014170	1.97743938370504	9.35677899555249	424.948303839091	3.93312287078217e-12	2.46652186185012e-09
ENSGMOG00000002396	5.46047885347737	4.81103585069117	422.033330106323	4.12758182214822e-12	2.49260080037506e-09
ENSGMOG00000005514	1.88556120684908	7.08758423830643	413.065001510024	4.79807827279588e-12	2.79402379421203e-09
ENSGMOG00000008938	1.97098378440506	8.47010908138583	403.722280517805	5.63178438823473e-12	3.16642222241956e-09
ENSGMOG00000002874	2.98787075730852	5.51114229733641	396.720501525544	6.36531452595401e-12	3.35783463152118e-09
ENSGMOG00000002560	1.80213720477916	5.6048655114591	396.553368344698	6.38410754843033e-12	3.35783463152118e-09
ENSGMOG00000002386	1.78033048924644	7.97967446889948	388.652285519006	7.34902451094806e-12	3.74455764534401e-09
ENSGMOG00000006004	2.10919905392396	4.3621593208249	370.227425857895	1.03175657851675e-11	5.09781545839869e-09
ENSGMOG00000003907	1.86341576113251	8.08753364169727	362.94857778724	1.18507721567753e-11	5.49467045313957e-09
ENSGMOG00000008534	1.62910700397588	9.0123700340586	362.206618924029	1.20211257471986e-11	5.49467045313957e-09
ENSGMOG00000009590	1.82222438053948	9.96981951349995	360.483612233024	1.24275887017927e-11	5.49467045313957e-09
ENSGMOG00000006795	1.58840731772333	8.43370365400443	360.312754879946	1.24687400653888e-11	5.49467045313957e-09
ENSGMOG00000009328	2.45448707198037	4.34729941084232	353.799012709685	1.41596349072812e-11	6.07560124113738e-09
ENSGMOG00000003775	1.49168668239409	5.70777961648647	341.454231580254	1.81327181316907e-11	7.58087100351838e-09
ENSGMOG00000019024	1.5571964409296	7.28361670891914	338.919497198442	1.90976174398208e-11	7.63268211614636e-09
ENSGMOG00000007401	3.41571865898116	3.96182382894739	338.677175555991	1.91928835793929e-11	7.63268211614636e-09
ENSGMOG00000017462	2.14055090313209	5.79065526493369	333.670445328116	2.12875867662396e-11	7.97569599244598e-09
ENSGMOG00000016241	3.1387335570364	4.20617929711466	333.36328009082	2.14243393169303e-11	7.97569599244598e-09
ENSGMOG00000012345	2.45334649150841	4.96078654995794	333.143315262748	2.15228840029208e-11	7.97569599244598e-09
ENSGMOG00000012153	1.65129190576134	7.47054813700292	331.34631617951	2.23475537914409e-11	8.09726365709876e-09
ENSGMOG00000005752	1.80094909697948	6.48563610786657	328.941355563245	2.3508113137942e-11	8.33260401552488e-09
ENSGMOG00000000487	2.38403258739801	4.88131863201124	326.236402559361	2.48962276909079e-11	8.63687218085646e-09
ENSGMOG00000009149	1.52932998921934	6.35561561342415	322.736444825564	2.68329404824994e-11	9.11481447014902e-09
ENSGMOG00000004283	1.38250665874873	6.69454996131429	320.231230764489	2.83246611736114e-11	9.4251755190966e-09
ENSGMOG00000005936	2.81629717585169	7.66621595786577	318.428770460806	2.94563811043232e-11	9.49870148212110e-09
ENSGMOG00000019246	2.25941069616787	6.32209050235985	318.034487559077	2.97107498060825e-11	9.49870148212110e-09
ENSGMOG00000006506	1.64257139866591	6.05185857014119	316.649070655571	3.06245765447421e-11	9.57293149295671e-09
ENSGMOG00000003965	2.64565087786682	4.92302876789432	315.626845522289	3.13193686187275e-11	9.57293149295671e-09
ENSGMOG00000012503	1.24306184510929	6.46032472773325	314.329980028572	3.22267981494202e-11	9.57293149295671e-09
ENSGMOG00000006982	1.57624358324819	7.08760608915878	314.239246331804	3.22913972470174e-11	9.57293149295671e-09
ENSGMOG00000015901	2.0565549661644	5.75962723641159	311.805428244095	3.40804372587214e-11	9.86270522585543e-09
ENSGMOG00000000372	2.31720298482509	6.84821096768557	311.283487805818	3.44786383240576e-11	9.86270522585543e-09
ENSGMOG00000013551	2.07783127772708	4.08332972680143	306.261960243699	3.85927163942202e-11	1.08492110484096e-08
ENSGMOG00000008986	1.5733851910575	5.3285276123681	296.600090273462	4.81837895689378e-11	1.32807623794563e-08
ENSGMOG00000010454	2.77136479266818	5.45512058408876	295.554229699423	4.93759006439517e-11	1.32807623794563e-08
ENSGMOG00000005787	1.69692094252425	5.50132729535472	295.28707617504	4.96857715514772e-11	1.32807623794563e-08
ENSGMOG00000019350	1.99718966726992	7.37070682114726	292.531656871083	5.30143181186973e-11	1.39419105955703e-08
ENSGMOG00000018332	1.37784522334848	8.32754574015055	291.153114026643	5.47743917707863e-11	1.41571104329604e-08
ENSGMOG00000015277	1.43007199164444	6.02815886318526	290.547062848293	5.55691547199918e-11	1.41571104329604e-08
ENSGMOG00000007282	1.57775899816026	7.95167038458326	289.199045397863	5.73844361403662e-11	1.43946650964411e-08
ENSGMOG00000008326	1.7729909160211	5.79322225243742	284.647667560817	6.4031350328921e-11	1.58186540471675e-08
ENSGMOG00000010350	1.5660818144879	5.47939472534253	282.276947551525	6.78382081800372e-11	1.65089848414255e-08
ENSGMOG00000015175	4.76817196600227	5.40218965258884	276.994662654621	7.72841631978235e-11	1.85311511903016e-08
ENSGMOG00000009131	1.85698277163284	4.83016626161057	275.686447508067	7.98493079395645e-11	1.88276843821412e-08
ENSGMOG00000007456	1.5955342377286	5.52330877999234	275.198742714222	8.08302917356569e-11	1.88276843821412e-08
ENSGMOG00000002321	3.42427242990087	5.25487175328194	268.391927683077	9.60587173734333e-11	2.18885531962582e-08
ENSGMOG00000009191	1.53864415593359	5.12351238191484	267.882355804513	9.73242932181021e-11	2.18885531962582e-08
ENSGMOG00000001072	1.77838873159255	6.47291227402566	267.234011408883	9.89620526496581e-11	2.18885531962582e-08
ENSGMOG00000013461	1.87054650937427	5.57732741573475	267.085785245754	9.93408731384916e-11	2.18885531962582e-08
