genes	logFC.oilhigh	logFC.oillow	logCPM	F	PValue	FDR
ENSGMOG00000000372	2.8874272698076	1.84200078745878	7.68544834467518	540.534704367497	6.10859258157857e-13	3.90730015888092e-10
ENSGMOG00000012564	2.38300625083473	0.976137642494557	6.93714610076469	522.96262075315	7.50444876444764e-13	4.12445238190593e-10
ENSGMOG00000009293	2.83158139841007	1.62899098566403	8.96935774042295	522.938454025362	7.50660820895545e-13	4.12445238190593e-10
ENSGMOG00000000487	2.77880254854527	1.32776826852209	5.41450891780216	520.806786851033	7.69995005594073e-13	4.12445238190593e-10
ENSGMOG00000001992	3.28471387425881	1.77498596986433	4.86738048964511	520.345624949781	7.74253294526681e-13	4.12445238190593e-10
ENSGMOG00000009114	4.01420844608158	2.61306997940771	3.93433159510023	518.140978071621	7.94991482504144e-13	4.12445238190593e-10
ENSGMOG00000007401	3.46075510120054	1.66366942863277	4.52885602674919	517.059752748313	8.05396939771138e-13	4.12445238190593e-10
ENSGMOG00000005453	2.69397299826623	1.20961233016633	6.85145397000146	515.030532086475	8.25354738421547e-13	4.12445238190593e-10
ENSGMOG00000003387	2.91455227315543	1.82674156090169	7.05737436810402	508.812858326689	8.90170728899844e-13	4.31171051355185e-10
ENSGMOG00000003005	2.2971954238478	1.11556992357733	7.73885242171649	504.837461184981	9.34703560993086e-13	4.31171051355185e-10
ENSGMOG00000017462	2.29043934036428	0.884944676794051	6.26789476864224	504.059498877974	9.43717515942186e-13	4.31171051355185e-10
ENSGMOG00000012345	2.69540383376274	0.779077966082979	5.29203125224131	494.850236769623	1.05845249571792e-12	4.70158718306259e-10
ENSGMOG00000013551	2.29040016276911	1.14625888160039	4.67740536283956	487.578761948753	1.16055851475059e-12	5.01580843496667e-10
ENSGMOG00000001088	3.41474949655744	1.90826306161684	4.25615889429593	480.392171385664	1.27285419000037e-12	5.35637140849894e-10
ENSGMOG00000002200	3.40871905405354	2.361358910388	6.90805081846027	468.235066934666	1.49279751779906e-12	6.00617523406774e-10
