genes	logFC.oilhigh	logFC.oillow	logCPM	F	PValue	FDR
ENSGMOG00000007282	0.180407871952568	0.0402408913448757	6.96591697587151	4.91987808550348	0.0259406687642886	0.1220581511013
ENSGMOG00000001916	0.104996301129362	-0.148010771309102	4.95790613771652	4.91301074801941	0.0260417280496343	0.122491227777599
ENSGMOG00000020209	-0.565579343956206	-0.476067169558659	0.271424200422456	4.91259220367254	0.0260479020185667	0.122491227777599
ENSGMOG00000012832	0.454123991258632	0.0490052546904937	1.98577332223208	4.91111216872165	0.0260697476623458	0.122558216051116
ENSGMOG00000005849	-0.213876433069649	-0.131913589128244	6.4249571240579	4.90881178231178	0.0261037439255829	0.122682270708255
ENSGMOG00000015756	-0.455289557671131	-0.423770806596193	3.84936999481847	4.90724506621925	0.0261269269756331	0.122732913173665
ENSGMOG00000011444	-0.184421425954456	-0.094763291064346	7.13220081694605	4.90705493068081	0.02612974207288	0.122732913173665
ENSGMOG00000018497	0.345551140939766	0.235818463442006	2.49706416640667	4.90604851098196	0.026144648701211	0.122767169571062
ENSGMOG00000009970	0.354283735147033	0.087342226668179	3.72015083204604	4.90491611050958	0.0261614330524705	0.122810220661161
ENSGMOG00000007180	-0.150695895568292	-0.828147330325404	0.174963387706583	4.9043145035609	0.0261703550893899	0.122816349189875
ENSGMOG00000016028	0.235140256631251	-0.0958904262103813	2.92764840890781	4.90364150626491	0.0261803400376023	0.122827460897974
ENSGMOG00000015743	0.400873792849866	-0.040609081544063	1.02033533397128	4.90234021072727	0.0261996592461514	0.122882345940719
ENSGMOG00000006200	-0.296104354514759	-0.314077487279666	4.08680802571064	4.90092425761335	0.0262206993988657	0.122945268335769
ENSGMOG00000020304	0.349379920308144	0.297441568691514	3.13372841829616	4.89942567621071	0.0262429886306158	0.123014009206012
ENSGMOG00000008782	-0.529077882005585	-0.659795996761108	0.140443344302191	4.89646538787663	0.0262870830310574	0.123163624041257
ENSGMOG00000010328	0.244958962056583	0.366862227681041	2.37345739067286	4.8962575154734	0.026290182570543	0.123163624041257
ENSGMOG00000000630	-0.372452535679206	0.318828326868935	0.612985005050119	4.89474039123466	0.0263128168712645	0.123233857696526
ENSGMOG00000017411	-0.416279551798262	-0.348988451120903	2.20246125295314	4.8937298957147	0.0263279051671842	0.123268719750536
ENSGMOG00000014510	-0.134560969837295	-0.431946298272715	5.53383053237526	4.89069419941354	0.0263732930961794	0.123445384956718
ENSGMOG00000002571	0.28728415609926	-0.00134531041711552	3.05173310440937	4.88985273925697	0.0263858901134722	0.123468507858311
