ID	sample_16	sample_17	sample_18
ENSGMOG00000000610	750	698	569
ENSGMOG00000000611	1	1	1
ENSGMOG00000000612	5794	5741	4103
ENSGMOG00000000613	13	3	6
ENSGMOG00000000614	1705	1640	1193
ENSGMOG00000000615	3605	1826	2455
ENSGMOG00000000616	59	61	50
ENSGMOG00000000617	1758	1815	1318
ENSGMOG00000000618	17	19	5
ENSGMOG00000000619	1017	863	704
ENSGMOG00000000620	23	25	19
ENSGMOG00000000621	109	90	59
ENSGMOG00000000622	651	582	412
ENSGMOG00000000623	13108	14534	9384
ENSGMOG00000000624	9304	8884	6283
ENSGMOG00000000625	274	148	126
ENSGMOG00000000626	2208	1681	1455
ENSGMOG00000000627	766	950	611
ENSGMOG00000000628	146	121	91
ENSGMOG00000000629	4	2	4
ENSGMOG00000000630	62	27	31
ENSGMOG00000000631	538	479	430
ENSGMOG00000000632	251	167	184
ENSGMOG00000000633	44	23	23
ENSGMOG00000000634	21	23	19
ENSGMOG00000000635	967	773	486
ENSGMOG00000000636	0	0	0
ENSGMOG00000000637	10881	10566	7464
ENSGMOG00000000638	529	436	322
ENSGMOG00000000639	98	67	54
ENSGMOG00000000640	0	0	0
ENSGMOG00000000641	438	479	278
ENSGMOG00000000642	2061	2312	1691
ENSGMOG00000000643	632	549	398
ENSGMOG00000000644	5279	5652	4135
ENSGMOG00000000645	12	4	4
ENSGMOG00000000646	289	427	297
ENSGMOG00000000647	345	316	220
ENSGMOG00000000648	1686	1460	1218
ENSGMOG00000000649	1433	1049	985
ENSGMOG00000000650	492	399	341
ENSGMOG00000000651	2	2	2
ENSGMOG00000000652	2307	2014	1556
ENSGMOG00000000653	532	355	413
ENSGMOG00000000654	261	253	202
ENSGMOG00000000655	0	0	0
ENSGMOG00000000656	780	682	516
ENSGMOG00000000657	3	12	6
ENSGMOG00000000658	1348	1318	969
ENSGMOG00000000659	1970	2032	1655
ENSGMOG00000000660	2074	1931	1479
ENSGMOG00000000661	198	128	95
ENSGMOG00000000662	535	399	298
ENSGMOG00000000663	1992	1764	1231
ENSGMOG00000000664	10436	10315	7200
ENSGMOG00000000665	29	18	28
ENSGMOG00000000666	2846	2430	2044
ENSGMOG00000000667	0	1	0
ENSGMOG00000000668	8	32	14
ENSGMOG00000000669	273	241	157
ENSGMOG00000000670	4007	4575	2779
ENSGMOG00000000671	54	57	19
ENSGMOG00000000672	159	161	135
ENSGMOG00000000673	1234	1074	919
ENSGMOG00000000674	25	20	21
ENSGMOG00000000675	9651	9901	7405
ENSGMOG00000000676	79	73	57
ENSGMOG00000000677	23	24	15
ENSGMOG00000000678	105	149	80
ENSGMOG00000000679	13	6	4
ENSGMOG00000000680	269	327	271
ENSGMOG00000000681	311	186	155
ENSGMOG00000000682	3506	3176	2389
ENSGMOG00000000683	26	30	23
ENSGMOG00000000684	180	162	95
ENSGMOG00000000685	842	686	552
ENSGMOG00000000686	2	0	2
ENSGMOG00000000687	789	484	420
ENSGMOG00000000688	6476	5219	4359
ENSGMOG00000000689	435	351	287
ENSGMOG00000000690	194	122	164
ENSGMOG00000000691	402	323	280
ENSGMOG00000000692	25	30	10
ENSGMOG00000000693	633	616	408
ENSGMOG00000000694	235	187	163
ENSGMOG00000000695	228	124	179
ENSGMOG00000000696	2	6	2
ENSGMOG00000000697	16	5	4
ENSGMOG00000000698	2	4	4
ENSGMOG00000000699	1269	1312	1003
ENSGMOG00000000700	5	0	6
ENSGMOG00000000701	722	552	525
ENSGMOG00000000702	113	64	95
ENSGMOG00000000703	197	193	178
ENSGMOG00000000704	22	6	13
ENSGMOG00000000705	6141	5588	4755
ENSGMOG00000000706	1990	1846	1215
ENSGMOG00000000707	138	75	111
ENSGMOG00000000708	61	41	35
ENSGMOG00000000709	11	11	14
ENSGMOG00000000710	1865	1772	1446
ENSGMOG00000000711	182	186	144
ENSGMOG00000000712	153	83	81
ENSGMOG00000000713	801	700	533
ENSGMOG00000000714	1	2	1
ENSGMOG00000000715	1247	1066	910
ENSGMOG00000000716	101	92	73
ENSGMOG00000000717	1696	1382	1231
ENSGMOG00000000718	16629	14795	11872
ENSGMOG00000000719	3380	2446	2221
ENSGMOG00000000720	9	15	10
ENSGMOG00000000721	93	95	94
ENSGMOG00000000722	182	137	119
ENSGMOG00000000723	100	43	57
ENSGMOG00000000724	2460	2806	1790
ENSGMOG00000000725	921	711	681
ENSGMOG00000000726	59	60	56
ENSGMOG00000000727	599	625	451
ENSGMOG00000000728	144	158	123
ENSGMOG00000000729	21	14	4
